Target Schema,Target Table,Column Name,Ordinal
TBAADM,DSA_COMM_HISTORY_TABLE,,1
TBAADM,DSA_COMM_PAID_HIS_TABLE,,1
TBAADM,DSA_DOC_LIMIT_HIST_TABLE,,1
TBAADM,DSA_DOCUMENT_TABLE,,1
TBAADM,DSA_MASTER_MOD_TABLE,,1
TBAADM,DSA_MASTER_TABLE,,1
TBAADM,DSA_PARM_MAST_TABLE,,1
TBAADM,DSA_PENAL_PEND_HIS_TABLE,,1
TBAADM,DSA_PRODUCT_MOD_TABLE,,1
TBAADM,DSA_PRODUCT_TABLE,,1
TBAADM,DSA_SCHM_LINK_TABLE,,1
TBAADM,DSA_TURNOVER_TABLE,,1
TBAADM,EB_MESSAGE_TABLE,,1
TBAADM,EB_QUEUE_TABLE,,1
TBAADM,ECS_MANDATE_MOD_TABLE,,1
TBAADM,ECS_MANDATE_TABLE,,1
TBAADM,ECS_PARAM_MOD_TABLE,,1
TBAADM,ECS_PARAM_TABLE,,1
TBAADM,EFF_CAL_MAP_TABLE,,1
TBAADM,EIT_REV_TABLE,,1
TBAADM,EMPLOYER_MASTER_TABLE,,1
TBAADM,END_OF_TXN_BAL_DTLS_TBL,,1
TBAADM,ENT_ASSESS_PART_TRAN_TABLE,,1
TBAADM,ENTERPRISE_DTD_TBL,,1
TBAADM,ENTERPRISE_DTH_TBL,,1
TBAADM,ENTITY_CHARGES_MOD_TABLE,,1
TBAADM,ENTITY_CHARGES_TBL,,1
TBAADM,ENTITY_FEE_ASSESS_TABLE,,1
TBAADM,ENTITY_INTEREST_MOD_TABLE,,1
TBAADM,ENTITY_INTEREST_TABLE,,1
TBAADM,EOD_ACCT_BAL_TABLE,,1
TBAADM,EOD_FX_ACCT_BAL_TABLE,,1
TBAADM,EOD_STATUS_TABLE,,1
TBAADM,EOD_TRAN_DETAIL_TABLE,,1
TBAADM,EOD_TRAN_HEADER_TABLE,,1
TBAADM,EQ_CORPORATE_ACTIONS_TBL,,1
TBAADM,EQ_INV_BALANCE_SUMMARY_TBL,,1
TBAADM,EQ_ORDER_TRADE_DTLS_TBL,,1
TBAADM,EQ_ORDER_TRADE_HISTORY_TBL,,1
TBAADM,EQ_PARAMS_EXCEPTION_TBL,,1
TBAADM,EQ_SECURITY_MASTER_TBL,,1
TBAADM,EQ_TRANSFER_DETAILS_TBL,,1
TBAADM,EQ_TRANSFER_HISTORY_TBL,,1
TBAADM,EVENT_LAST_EXEC_TBL,,1
TBAADM,EVENT_TYPE_TABLE,,1
TBAADM,EXCEPTION_CODE_TABLE,,1
TBAADM,EXE_LOCK_TABLE,,1
TBAADM,EXEC_ADV_LINKAGE_TABLE,,1
TBAADM,EXECUTED_ADVICE_MASTER_TBL,,1
TBAADM,EXP_ORD_DET_MOD_TABLE,,1
TBAADM,EXP_ORD_DET_TABLE,,1
TBAADM,EXP_PO_LINKAGE_TABLE,,1
TBAADM,EXT_GENERAL_ACCT_TABLE,,1
TBAADM,EXTN_PRIC_STAT_CHNG_TABLE,,1
TBAADM,FACILITY_USAGE_LOG_TABLE,,1
TBAADM,FACILITY_VERSION_TABLE,,1
TBAADM,FACT_AGMNT_BUYER_TABLE,,1
TBAADM,FACT_AGMNT_CRNCY_TABLE,,1
TBAADM,FACT_AGMNT_HIST_TABLE,,1
TBAADM,FACT_AGMNT_MAINT_TABLE,,1
TBAADM,FACT_AGMNT_PYMT_TABLE,,1
TBAADM,FACT_INS_MASTER_TABLE,,1
TBAADM,FACT_INS_PRMUM_PYMT_TABLE,,1
TBAADM,FACT_INSURANCE_BUYER_TABLE,,1
TBAADM,FACT_INV_EVT_MAP_TABLE,,1
TBAADM,FACT_INVOICE_CMDTY_TABLE,,1
